index_no,region_no,port_name,country,latitude,longitude,geog,geom
61090,61070,SHAKOTAN,RU,43.866667,146.833333,0101000020E6100000ABAAAAAAAA5A6240EFEEEEEEEEEE4540,0101000020E6100000ABAAAAAAAA5A6240EFEEEEEEEEEE4540
61110,61100,MOMBETSU KO,JP,44.35,143.35,0101000020E61000003333333333EB6140CDCCCCCCCC2C4640,0101000020E61000003333333333EB6140CDCCCCCCCC2C4640
5750,5705,CHARLOTTETOWN,CA,46.233333,-63.133333,0101000020E61000001111111111914FC0DEDDDDDDDD1D4740,0101000020E61000001111111111914FC0DEDDDDDDDD1D4740
61120,61100,ABASHIRI KO,JP,44.016667,144.283333,0101000020E610000011111111110962402222222222024640,0101000020E610000011111111110962402222222222024640
61130,61100,NEMURO KO,JP,43.333333,145.583333,0101000020E6100000ABAAAAAAAA326240ABAAAAAAAAAA4540,0101000020E6100000ABAAAAAAAA326240ABAAAAAAAAAA4540
61140,61100,HANASAKI KO,JP,43.283333,145.583333,0101000020E6100000ABAAAAAAAA3262404444444444A44540,0101000020E6100000ABAAAAAAAA3262404444444444A44540
61160,61100,KUSHIRO KO,JP,42.983333,144.366667,0101000020E6100000BCBBBBBBBB0B6240DEDDDDDDDD7D4540,0101000020E6100000BCBBBBBBBB0B6240DEDDDDDDDD7D4540
61165,61100,TOMAKOMAI KO,JP,42.633333,141.633333,0101000020E61000004444444444B461401111111111514540,0101000020E61000004444444444B461401111111111514540
61170,61100,MURORAN KO,JP,42.35,140.966667,0101000020E6100000EFEEEEEEEE9E6140CDCCCCCCCC2C4540,0101000020E6100000EFEEEEEEEE9E6140CDCCCCCCCC2C4540
61180,61100,MORI,JP,42.116667,140.583333,0101000020E6100000ABAAAAAAAA926140EFEEEEEEEE0E4540,0101000020E6100000ABAAAAAAAA926140EFEEEEEEEE0E4540
49500,49310,GOPALPUR,IN,19.25,84.916667,0101000020E6100000ABAAAAAAAA3A55400000000000403340,0101000020E6100000ABAAAAAAAA3A55400000000000403340
47990,47950,EL GHARDAQA,EG,27.216667,33.85,0101000020E6100000CDCCCCCCCCEC40407777777777373B40,0101000020E6100000CDCCCCCCCCEC40407777777777373B40
48015,47950,RAS SHUKHIER,EG,28.133333,33.283333,0101000020E61000004444444444A440402222222222223C40,0101000020E61000004444444444A440402222222222223C40
48020,47950,RAS GHARIB,EG,28.35,33.1,0101000020E6100000CDCCCCCCCC8C40409A99999999593C40,0101000020E6100000CDCCCCCCCC8C40409A99999999593C40
48040,47950,AS SUWAYS,EG,29.966667,32.55,0101000020E610000066666666664640407777777777F73D40,0101000020E610000066666666664640407777777777F73D40
48045,47950,EL-ADABIYA,EG,29.866667,32.466667,0101000020E6100000BCBBBBBBBB3B4040DEDDDDDDDDDD3D40,0101000020E6100000BCBBBBBBBB3B4040DEDDDDDDDDDD3D40
48050,47950,EL ISMAILIYA,EG,30.583333,32.283333,0101000020E610000044444444442440405555555555953E40,0101000020E610000044444444442440405555555555953E40
48060,47950,RAS ABU ZANIMAH,EG,29.033333,33.116667,0101000020E6100000EFEEEEEEEE8E40408988888888083D40,0101000020E6100000EFEEEEEEEE8E40408988888888083D40
48065,47950,WADI FEIRAN,EG,28.75,33.2,0101000020E61000009A999999999940400000000000C03C40,0101000020E61000009A999999999940400000000000C03C40
48076,48075,ELAT,IL,29.55,34.95,0101000020E61000009A99999999794140CDCCCCCCCC8C3D40,0101000020E61000009A99999999794140CDCCCCCCCC8C3D40
48090,48080,AL AQABAH,JO,29.516667,35,0101000020E610000000000000008041404444444444843D40,0101000020E610000000000000008041404444444444843D40
32420,32390,KETTLETOFT,GB,59.233333,-2.6,0101000020E6100000CDCCCCCCCCCC04C0DEDDDDDDDD9D4D40,0101000020E6100000CDCCCCCCCCCC04C0DEDDDDDDDD9D4D40
48120,48100,YANBU,SA,24.083333,38.05,0101000020E610000066666666660643405555555555153840,0101000020E610000066666666660643405555555555153840
48140,48100,JIDDAH,SA,21.483333,39.183333,0101000020E61000007777777777974340BCBBBBBBBB7B3540,0101000020E61000007777777777974340BCBBBBBBBB7B3540
48142,48100,JIZAN,SA,16.9,42.483333,0101000020E6100000DEDDDDDDDD3D45406666666666E63040,0101000020E6100000DEDDDDDDDD3D45406666666666E63040
46780,46725,SIMONSTOWN,ZA,-34.183333,18.433333,0101000020E6100000EFEEEEEEEE6E324077777777771741C0,0101000020E6100000EFEEEEEEEE6E324077777777771741C0
46800,46725,MOSSEL BAY,ZA,-34.183333,22.15,0101000020E6100000666666666626364077777777771741C0,0101000020E6100000666666666626364077777777771741C0
46820,46725,PORT ELIZABETH,ZA,-33.966667,25.616667,0101000020E6100000DEDDDDDDDD9D3940BCBBBBBBBBFB40C0,0101000020E6100000DEDDDDDDDD9D3940BCBBBBBBBBFB40C0
33770,33630,BELFAST,GB,54.616667,-5.9,0101000020E61000009A999999999917C0EFEEEEEEEE4E4B40,0101000020E61000009A999999999917C0EFEEEEEEEE4E4B40
33790,33630,LARNE,GB,54.85,-5.8,0101000020E610000033333333333317C0CDCCCCCCCC6C4B40,0101000020E610000033333333333317C0CDCCCCCCCC6C4B40
33820,33630,COLERAINE,GB,55.133333,-6.666667,0101000020E6100000ABAAAAAAAAAA1AC01111111111914B40,0101000020E6100000ABAAAAAAAAAA1AC01111111111914B40
33830,33630,LONDONDERRY,GB,55,-7.316667,0101000020E61000004444444444441DC00000000000804B40,0101000020E61000004444444444441DC00000000000804B40
33060,32790,ORNSAY,GB,57.15,-5.8,0101000020E610000033333333333317C03333333333934C40,0101000020E610000033333333333317C03333333333934C40
32290,31870,BUCKIE HARBOR,GB,57.683333,-2.966667,0101000020E6100000BCBBBBBBBBBB07C07777777777D74C40,0101000020E6100000BCBBBBBBBBBB07C07777777777D74C40
32300,31870,LOSSIEMOUTH,GB,57.716667,-3.283333,0101000020E61000004444444444440AC0BCBBBBBBBBDB4C40,0101000020E61000004444444444440AC0BCBBBBBBBBDB4C40
32320,31870,BURGHEAD,GB,57.7,-3.5,0101000020E61000000000000000000CC09A99999999D94C40,0101000020E61000000000000000000CC09A99999999D94C40
32330,31870,INVERNESS,GB,57.483333,-4.233333,0101000020E6100000EFEEEEEEEEEE10C0DEDDDDDDDDBD4C40,0101000020E6100000EFEEEEEEEEEE10C0DEDDDDDDDDBD4C40
32340,31870,CROMARTY,GB,57.683333,-4.033333,0101000020E610000022222222222210C07777777777D74C40,0101000020E610000022222222222210C07777777777D74C40
32350,31870,INVERGORDON,GB,57.683333,-4.166667,0101000020E6100000ABAAAAAAAAAA10C07777777777D74C40,0101000020E6100000ABAAAAAAAAAA10C07777777777D74C40
32360,31870,PORTMAHOMACK HARBOR,GB,57.833333,-3.833333,0101000020E6100000ABAAAAAAAAAA0EC0ABAAAAAAAAEA4C40,0101000020E6100000ABAAAAAAAAAA0EC0ABAAAAAAAAEA4C40
32370,31870,HELMSDALE HARBOR,GB,58.116667,-3.65,0101000020E61000003333333333330DC0EFEEEEEEEE0E4D40,0101000020E61000003333333333330DC0EFEEEEEEEE0E4D40
32380,31870,WICK,GB,58.433333,-3.083333,0101000020E6100000ABAAAAAAAAAA08C07777777777374D40,0101000020E6100000ABAAAAAAAAAA08C07777777777374D40
32410,32390,PIEROWALL,GB,59.3,-2.983333,0101000020E6100000DEDDDDDDDDDD07C06666666666A64D40,0101000020E6100000DEDDDDDDDDDD07C06666666666A64D40
32430,32390,WHITEHALL,GB,59.133333,-2.6,0101000020E6100000CDCCCCCCCCCC04C01111111111914D40,0101000020E6100000CDCCCCCCCCCC04C01111111111914D40
32440,32390,KIRKWALL,GB,58.983333,-2.966667,0101000020E6100000BCBBBBBBBBBB07C0DEDDDDDDDD7D4D40,0101000020E6100000BCBBBBBBBBBB07C0DEDDDDDDDD7D4D40
32450,32390,STROMNESS,GB,58.966667,-3.3,0101000020E61000006666666666660AC0BCBBBBBBBB7B4D40,0101000020E61000006666666666660AC0BCBBBBBBBB7B4D40
32460,32390,SOUTH NESS,GB,58.8,-3.2,0101000020E61000009A999999999909C06666666666664D40,0101000020E61000009A999999999909C06666666666664D40
32470,32390,ST MARGARETS HOPE,GB,58.833333,-2.95,0101000020E61000009A999999999907C0ABAAAAAAAA6A4D40,0101000020E61000009A999999999907C0ABAAAAAAAA6A4D40
32490,32390,LYNESS,GB,58.833333,-3.2,0101000020E61000009A999999999909C0ABAAAAAAAA6A4D40,0101000020E61000009A999999999909C0ABAAAAAAAA6A4D40
32500,32390,SCAPA BAY,GB,58.95,-2.983333,0101000020E6100000DEDDDDDDDDDD07C09A99999999794D40,0101000020E6100000DEDDDDDDDDDD07C09A99999999794D40
4800,4570,CHICAGO,US,41.883333,-87.6,0101000020E61000006666666666E655C01111111111F14440,0101000020E61000006666666666E655C01111111111F14440
4810,4570,WILMETTE,US,42.083333,-87.683333,0101000020E6100000BCBBBBBBBBEB55C0ABAAAAAAAA0A4540,0101000020E6100000BCBBBBBBBBEB55C0ABAAAAAAAA0A4540
4820,4570,GREAT LAKES,US,42.3,-87.833333,0101000020E61000005555555555F555C06666666666264540,0101000020E61000005555555555F555C06666666666264540
4830,4570,WAUKEGAN,US,42.366667,-87.816667,0101000020E61000004444444444F455C0EFEEEEEEEE2E4540,0101000020E61000004444444444F455C0EFEEEEEEEE2E4540
4840,4570,KENOSHA,US,42.583333,-87.816667,0101000020E61000004444444444F455C0ABAAAAAAAA4A4540,0101000020E61000004444444444F455C0ABAAAAAAAA4A4540
4850,4570,RACINE,US,42.733333,-87.783333,0101000020E61000002222222222F255C0DEDDDDDDDD5D4540,0101000020E61000002222222222F255C0DEDDDDDDDD5D4540
4860,4570,MILWAUKEE,US,43.033333,-87.883333,0101000020E61000008988888888F855C04444444444844540,0101000020E61000008988888888F855C04444444444844540
4870,4570,PORT WASHINGTON,US,43.383333,-87.866667,0101000020E61000007777777777F755C01111111111B14540,0101000020E61000007777777777F755C01111111111B14540
4880,4570,SHEBOYGAN,US,43.75,-87.7,0101000020E6100000CDCCCCCCCCEC55C00000000000E04540,0101000020E6100000CDCCCCCCCCEC55C00000000000E04540
4890,4570,MANITOWOC,US,44.1,-87.65,0101000020E61000009A99999999E955C0CDCCCCCCCC0C4640,0101000020E61000009A99999999E955C0CDCCCCCCCC0C4640
4380,4300,PORT HOPE,US,43.95,-82.7,0101000020E6100000CDCCCCCCCCAC54C09A99999999F94540,0101000020E6100000CDCCCCCCCCAC54C09A99999999F94540
4400,4300,BAY CITY,US,43.6,-83.866667,0101000020E61000007777777777F754C0CDCCCCCCCCCC4540,0101000020E61000007777777777F754C0CDCCCCCCCCCC4540
3700,3640,SARNIA,CA,42.983333,-82.416667,0101000020E6100000ABAAAAAAAA9A54C0DEDDDDDDDD7D4540,0101000020E6100000ABAAAAAAAA9A54C0DEDDDDDDDD7D4540
3710,3640,POINT EDWARD,CA,43,-82.416667,0101000020E6100000ABAAAAAAAA9A54C00000000000804540,0101000020E6100000ABAAAAAAAA9A54C00000000000804540
3730,3640,GODERICH,CA,43.75,-81.733333,0101000020E6100000EFEEEEEEEE6E54C00000000000E04540,0101000020E6100000EFEEEEEEEE6E54C00000000000E04540
3750,3640,PORT ELGIN,CA,44.433333,-81.4,0101000020E61000009A999999995954C07777777777374640,0101000020E61000009A999999995954C07777777777374640
3760,3640,SOUTHAMPTON,CA,44.5,-81.383333,0101000020E610000089888888885854C00000000000404640,0101000020E610000089888888885854C00000000000404640
3770,3640,TOBERMORY,CA,45.266667,-81.666667,0101000020E6100000ABAAAAAAAA6A54C02222222222A24640,0101000020E6100000ABAAAAAAAA6A54C02222222222A24640
3790,3640,LIONS HEAD,CA,44.983333,-81.25,0101000020E610000000000000005054C0DEDDDDDDDD7D4640,0101000020E610000000000000005054C0DEDDDDDDDD7D4640
3810,3640,WIARTON,CA,44.75,-81.133333,0101000020E610000089888888884854C00000000000604640,0101000020E610000089888888884854C00000000000604640
3860,3640,OWEN SOUND,CA,44.583333,-80.933333,0101000020E6100000BCBBBBBBBB3B54C0ABAAAAAAAA4A4640,0101000020E6100000BCBBBBBBBB3B54C0ABAAAAAAAA4A4640
3880,3640,MEAFORD,CA,44.616667,-80.6,0101000020E610000066666666662654C0EFEEEEEEEE4E4640,0101000020E610000066666666662654C0EFEEEEEEEE4E4640
3890,3640,THORNBURY,CA,44.566667,-80.45,0101000020E6100000CDCCCCCCCC1C54C08988888888484640,0101000020E6100000CDCCCCCCCC1C54C08988888888484640
3900,3640,COLLINGWOOD,CA,44.5,-80.233333,0101000020E6100000EFEEEEEEEE0E54C00000000000404640,0101000020E6100000EFEEEEEEEE0E54C00000000000404640
3930,3640,PENETANGUISHENE,CA,44.766667,-79.933333,0101000020E6100000BCBBBBBBBBFB53C02222222222624640,0101000020E6100000BCBBBBBBBBFB53C02222222222624640
3940,3640,MIDLAND,CA,44.75,-79.916667,0101000020E6100000ABAAAAAAAAFA53C00000000000604640,0101000020E6100000ABAAAAAAAAFA53C00000000000604640
3950,3640,TIFFIN,CA,44.75,-79.85,0101000020E61000006666666666F653C00000000000604640,0101000020E61000006666666666F653C00000000000604640
3960,3640,PORT MCNICOLL,CA,44.75,-79.8,0101000020E61000003333333333F353C00000000000604640,0101000020E61000003333333333F353C00000000000604640
3970,3640,VICTORIA HARBOUR,CA,44.75,-79.816667,0101000020E61000004444444444F453C00000000000604640,0101000020E61000004444444444F453C00000000000604640
3980,3640,WAUBAUSHENE,CA,44.766667,-79.716667,0101000020E6100000DEDDDDDDDDED53C02222222222624640,0101000020E6100000DEDDDDDDDDED53C02222222222624640
4000,3640,PORT SEVERN,CA,44.8,-79.716667,0101000020E6100000DEDDDDDDDDED53C06666666666664640,0101000020E6100000DEDDDDDDDDED53C06666666666664640
4020,3640,DEPOT HARBOUR,CA,45.316667,-80.1,0101000020E610000066666666660654C08988888888A84640,0101000020E610000066666666660654C08988888888A84640
4030,3640,PARRY SOUND,CA,45.333333,-80.033333,0101000020E610000022222222220254C0ABAAAAAAAAAA4640,0101000020E610000022222222220254C0ABAAAAAAAAAA4640
4050,3640,BYNG INLET,CA,45.766667,-80.566667,0101000020E610000044444444442454C02222222222E24640,0101000020E610000044444444442454C02222222222E24640
4060,3640,KEY HARBOUR,CA,45.883333,-80.75,0101000020E610000000000000003054C01111111111F14640,0101000020E610000000000000003054C01111111111F14640
4080,3640,KILLARNEY,CA,45.966667,-81.516667,0101000020E610000011111111116154C0BCBBBBBBBBFB4640,0101000020E610000011111111116154C0BCBBBBBBBBFB4640
11905,11860,MAMONAL,CO,10.316667,-75.516667,0101000020E61000001111111111E152C02222222222A22440,0101000020E61000001111111111E152C02222222222A22440
13040,12700,IMBITUBA,BR,-28.233333,-48.666667,0101000020E610000055555555555548C0BCBBBBBBBB3B3CC0,0101000020E610000055555555555548C0BCBBBBBBBB3B3CC0
12935,12700,GUAIBA ISLAND TERMINAL,BR,-23.016667,-44.033333,0101000020E610000044444444440446C044444444440437C0,0101000020E610000044444444440446C044444444440437C0
12900,12700,DTSE / GEGUA OIL TERMINAL,BR,-22.816667,-43.15,0101000020E610000033333333339345C01111111111D136C0,0101000020E610000033333333339345C01111111111D136C0
12950,12700,GEBIG,BR,-23.05,-44.216667,0101000020E6100000BCBBBBBBBB1B46C0CDCCCCCCCC0C37C0,0101000020E6100000BCBBBBBBBB1B46C0CDCCCCCCCC0C37C0
60810,60530,DE KASTRI,RU,51.466667,140.783333,0101000020E61000001111111111996140BCBBBBBBBBBB4940,0101000020E61000001111111111996140BCBBBBBBBBBB4940
60820,60530,NIKOLAYEVSK NA AMUR,RU,53.133333,140.733333,0101000020E610000077777777779761401111111111914A40,0101000020E610000077777777779761401111111111914A40
60860,60840,OKHA,RU,53.55,143,0101000020E61000000000000000E061406666666666C64A40,0101000020E61000000000000000E061406666666666C64A40
60880,60840,PORONAYSK,RU,49.216667,143.133333,0101000020E61000004444444444E46140BCBBBBBBBB9B4840,0101000020E61000004444444444E46140BCBBBBBBBB9B4840
60920,60840,KORSAKOV,RU,46.616667,142.766667,0101000020E61000008988888888D86140EFEEEEEEEE4E4740,0101000020E61000008988888888D86140EFEEEEEEEE4E4740
60930,60840,NEVELSK,RU,46.666667,141.866667,0101000020E6100000BCBBBBBBBBBB61405555555555554740,0101000020E6100000BCBBBBBBBBBB61405555555555554740
60940,60840,KHOLMSK,RU,47.05,142.05,0101000020E61000009A99999999C161406666666666864740,0101000020E61000009A99999999C161406666666666864740
60980,60840,UGLEGORSK,RU,49.083333,142.033333,0101000020E61000001111111111C16140ABAAAAAAAA8A4840,0101000020E61000001111111111C16140ABAAAAAAAA8A4840
60990,60840,LESOGORSK,RU,49.45,142.133333,0101000020E61000004444444444C461409A99999999B94840,0101000020E61000004444444444C461409A99999999B94840
60380,60315,MASAN,KR,35.183333,128.566667,0101000020E610000022222222221260407777777777974140,0101000020E610000022222222221260407777777777974140
60390,60315,PUSAN,KR,35.1,129.033333,0101000020E61000001111111111216040CDCCCCCCCC8C4140,0101000020E61000001111111111216040CDCCCCCCCC8C4140
60400,60315,ULSAN,KR,35.45,129.4,0101000020E6100000CDCCCCCCCC2C60409A99999999B94140,0101000020E6100000CDCCCCCCCC2C60409A99999999B94140
59910,59850,WENZHOU,CN,28.016667,120.65,0101000020E61000009A99999999295E404444444444043C40,0101000020E61000009A99999999295E404444444444043C40
59950,59850,ZHEN HAI,CN,29.95,121.7,0101000020E6100000CDCCCCCCCC6C5E403333333333F33D40,0101000020E6100000CDCCCCCCCC6C5E403333333333F33D40
59960,59850,ZHOUSHAN,CN,30,122.1,0101000020E61000006666666666865E400000000000003E40,0101000020E61000006666666666865E400000000000003E40
59985,59850,JIANGYIN,CN,31.916667,120.233333,0101000020E6100000EFEEEEEEEE0E5E40ABAAAAAAAAEA3F40,0101000020E6100000EFEEEEEEEE0E5E40ABAAAAAAAAEA3F40
59987,59850,GAOGANG,CN,32.283333,119.85,0101000020E61000006666666666F65D404444444444244040,0101000020E61000006666666666F65D404444444444244040
59988,59850,YANGZHOU,CN,32.266667,119.433333,0101000020E6100000BCBBBBBBBBDB5D402222222222224040,0101000020E6100000BCBBBBBBBBDB5D402222222222224040
59995,59850,ZHENJIANG,CN,32.216667,119.433333,0101000020E6100000BCBBBBBBBBDB5D40BCBBBBBBBB1B4040,0101000020E6100000BCBBBBBBBBDB5D40BCBBBBBBBB1B4040
60000,59850,NANJING,CN,32.083333,118.75,0101000020E61000000000000000B05D40ABAAAAAAAA0A4040,0101000020E61000000000000000B05D40ABAAAAAAAA0A4040
60010,59850,WU HU,CN,31.333333,118.366667,0101000020E61000007777777777975D405555555555553F40,0101000020E61000007777777777975D405555555555553F40
60030,59850,ANKINGCHENG,CN,30.516667,117.033333,0101000020E61000002222222222425D404444444444843E40,0101000020E61000002222222222425D404444444444843E40
60060,59850,HANKOW,CN,30.583333,114.283333,0101000020E61000002222222222925C405555555555953E40,0101000020E61000002222222222925C405555555555953E40
60110,59850,WANXIAN,CN,30.816667,108.433333,0101000020E6100000BCBBBBBBBB1B5B401111111111D13E40,0101000020E6100000BCBBBBBBBB1B5B401111111111D13E40
60120,59850,CHUNG CHING,CN,29.566667,106.633333,0101000020E61000008988888888A85A401111111111913D40,0101000020E61000008988888888A85A401111111111913D40
60130,59850,LIANYUNGANG,CN,34.733333,119.45,0101000020E6100000CDCCCCCCCCDC5D40DEDDDDDDDD5D4140,0101000020E6100000CDCCCCCCCCDC5D40DEDDDDDDDD5D4140
60140,59850,QINGDAO GANG,CN,36.033333,120.266667,0101000020E61000001111111111115E404444444444044240,0101000020E61000001111111111115E404444444444044240
46280,46250,DOUALA,CM,4.05,9.683333,0101000020E6100000DEDDDDDDDD5D23403333333333331040,0101000020E6100000DEDDDDDDDD5D23403333333333331040
46285,46250,KOLE OIL TERMINAL,CM,4.25,8.55,0101000020E61000009A999999991921400000000000001140,0101000020E61000009A999999991921400000000000001140
46305,46300,BATA,GQ,1.866667,9.766667,0101000020E61000008988888888882340DEDDDDDDDDDDFD3F,0101000020E61000008988888888882340DEDDDDDDDDDDFD3F
46430,46410,LIBREVILLE,GA,0.383333,9.45,0101000020E61000006666666666E62240898888888888D83F,0101000020E61000006666666666E62240898888888888D83F
46435,46410,PORT OWENDO,GA,0.283333,9.5,0101000020E61000000000000000002340222222222222D23F,0101000020E61000000000000000002340222222222222D23F
46440,46410,PORT GENTIL,GA,-0.7,8.8,0101000020E61000009A99999999992140666666666666E6BF,0101000020E61000009A99999999992140666666666666E6BF
46445,46410,CAP LOPEZ,GA,-0.633333,8.716667,0101000020E6100000EFEEEEEEEE6E2140444444444444E4BF,0101000020E6100000EFEEEEEEEE6E2140444444444444E4BF
53050,52900,SAILOLOF,ID,-1.25,130.75,0101000020E61000000000000000586040000000000000F4BF,0101000020E61000000000000000586040000000000000F4BF
52260,51970,BAUBAU,ID,-5.466667,122.616667,0101000020E61000007777777777A75E40DEDDDDDDDDDD15C0,0101000020E61000007777777777A75E40DEDDDDDDDDDD15C0
52270,51970,RAHA ROADSTEAD,ID,-4.85,122.733333,0101000020E6100000EFEEEEEEEEAE5E4066666666666613C0,0101000020E6100000EFEEEEEEEEAE5E4066666666666613C0
28510,28420,OSMUSSAAR,EE,59.3,23.366667,0101000020E6100000DEDDDDDDDD5D37406666666666A64D40,0101000020E6100000DEDDDDDDDD5D37406666666666A64D40
52295,51970,POMALAA,ID,-4.166667,121.6,0101000020E61000006666666666665E40ABAAAAAAAAAA10C0,0101000020E61000006666666666665E40ABAAAAAAAAAA10C0
52320,51970,UJUNG PANDANG,ID,-5.133333,119.4,0101000020E61000009A99999999D95D4089888888888814C0,0101000020E61000009A99999999D95D4089888888888814C0
52350,51970,DONGGALA,ID,-0.65,119.733333,0101000020E6100000EFEEEEEEEEEE5D40CDCCCCCCCCCCE4BF,0101000020E6100000EFEEEEEEEEEE5D40CDCCCCCCCCCCE4BF
52440,52400,TAHUNA,ID,3.616667,125.483333,0101000020E6100000EFEEEEEEEE5E5F40EFEEEEEEEEEE0C40,0101000020E6100000EFEEEEEEEE5E5F40EFEEEEEEEEEE0C40
52510,52500,TERNATE,ID,0.783333,127.383333,0101000020E61000008988888888D85F40111111111111E93F,0101000020E61000008988888888D85F40111111111111E93F
52523,52520,LABUHA,ID,-0.633333,127.466667,0101000020E6100000DEDDDDDDDDDD5F40444444444444E4BF,0101000020E6100000DEDDDDDDDDDD5F40444444444444E4BF
52680,52650,BULA,ID,-3.1,130.5,0101000020E61000000000000000506040CDCCCCCCCCCC08C0,0101000020E61000000000000000506040CDCCCCCCCCCC08C0
52695,52650,SALAWATI,ID,-1.35,130.983333,0101000020E610000077777777775F60409A9999999999F5BF,0101000020E610000077777777775F60409A9999999999F5BF
52720,52650,AMBON,ID,-3.683333,128.166667,0101000020E610000055555555550560407877777777770DC0,0101000020E610000055555555550560407877777777770DC0
52760,52735,NAMLEA,ID,-3.283333,127.083333,0101000020E61000005555555555C55F404444444444440AC0,0101000020E61000005555555555C55F404444444444440AC0
52870,52850,SAUMLAKI,ID,-7.983333,131.3,0101000020E61000009A99999999696040EFEEEEEEEEEE1FC0,0101000020E61000009A99999999696040EFEEEEEEEEEE1FC0
52940,52900,SERUI,ID,-1.9,136.25,0101000020E61000000000000000086140666666666666FEBF,0101000020E61000000000000000086140666666666666FEBF
53010,52900,MANOKWARI ROAD,ID,-0.866667,134.083333,0101000020E6100000ABAAAAAAAAC26040BCBBBBBBBBBBEBBF,0101000020E6100000ABAAAAAAAAC26040BCBBBBBBBBBBEBBF
52235,51970,MANGKASA OIL TERMINAL,ID,-2.733333,121.066667,0101000020E61000004444444444445E40DEDDDDDDDDDD05C0,0101000020E61000004444444444445E40DEDDDDDDDDDD05C0
52240,51970,KENDARI,ID,-3.966667,122.583333,0101000020E61000005555555555A55E40BCBBBBBBBBBB0FC0,0101000020E61000005555555555A55E40BCBBBBBBBBBB0FC0
53045,52900,KASIM TERMINAL,ID,-1.3,131.016667,0101000020E61000008988888888606040CDCCCCCCCCCCF4BF,0101000020E61000008988888888606040CDCCCCCCCCCCF4BF
51585,51550,BINTULU PORT,MY,3.266667,113.066667,0101000020E61000004444444444445C402222222222220A40,0101000020E61000004444444444445C402222222222220A40
51590,51550,MIRI,MY,4.383333,113.966667,0101000020E6100000DEDDDDDDDD7D5C408988888888881140,0101000020E6100000DEDDDDDDDD7D5C408988888888881140
51600,51550,LUTONG,MY,4.466667,114,0101000020E61000000000000000805C40DEDDDDDDDDDD1140,0101000020E61000000000000000805C40DEDDDDDDDDDD1140
51620,51610,MUARA HARBOR,BN,5.033333,115.066667,0101000020E61000004444444444C45C402222222222221440,0101000020E61000004444444444C45C402222222222221440
51630,51610,BANDAR SERI BEGAWAN,BN,4.883333,114.883333,0101000020E61000008988888888B85C408888888888881340,0101000020E61000008988888888B85C408888888888881340
51645,51610,SERIA OIL LOADING TERMINAL,BN,4.616667,114.316667,0101000020E61000004444444444945C407877777777771240,0101000020E61000004444444444945C407877777777771240
39740,39730,PORTOVECCHIO DI PIOMBINO,IT,42.933333,10.55,0101000020E61000009A999999991925407777777777774540,0101000020E61000009A999999991925407777777777774540
39790,39730,PORTO SANTO STEFANO,IT,42.433333,11.116667,0101000020E6100000BCBBBBBBBB3B26407777777777374540,0101000020E6100000BCBBBBBBBB3B26407777777777374540
39810,39730,CIVITAVECCHIA,IT,42.1,11.783333,0101000020E61000001111111111912740CDCCCCCCCC0C4540,0101000020E61000001111111111912740CDCCCCCCCC0C4540
39820,39730,FIUMICINO,IT,41.766667,12.233333,0101000020E610000077777777777728402222222222E24440,0101000020E610000077777777777728402222222222E24440
39830,39730,ANZIO,IT,41.45,12.633333,0101000020E610000044444444444429409A99999999B94440,0101000020E610000044444444444429409A99999999B94440
39860,39730,GAETA,IT,41.2,13.583333,0101000020E6100000ABAAAAAAAA2A2B409A99999999994440,0101000020E6100000ABAAAAAAAA2A2B409A99999999994440
39940,39730,POZZUOLI,IT,40.816667,14.116667,0101000020E6100000BCBBBBBBBB3B2C408988888888684440,0101000020E6100000BCBBBBBBBB3B2C408988888888684440
39950,39730,BAGNOLI,IT,40.816667,14.166667,0101000020E61000005555555555552C408988888888684440,0101000020E61000005555555555552C408988888888684440
39960,39730,NAPOLI,IT,40.85,14.266667,0101000020E61000008988888888882C40CDCCCCCCCC6C4440,0101000020E61000008988888888882C40CDCCCCCCCC6C4440
39250,39130,CARLOFORTE,IT,39.15,8.316667,0101000020E61000002222222222A220403333333333934340,0101000020E61000002222222222A220403333333333934340
39260,39130,PORTO VESME,IT,39.2,8.4,0101000020E6100000CDCCCCCCCCCC20409A99999999994340,0101000020E6100000CDCCCCCCCCCC20409A99999999994340
11946,11860,PUERTO BOLIVAR,CO,12.25,-71.966667,0101000020E6100000DEDDDDDDDDFD51C00000000000802840,0101000020E6100000DEDDDDDDDDFD51C00000000000802840
32590,32510,SCALLOWAY,GB,60.133333,-1.283333,0101000020E6100000888888888888F4BF1111111111114E40,0101000020E6100000888888888888F4BF1111111111114E40
32600,32510,LERWICK,GB,60.15,-1.15,0101000020E6100000666666666666F2BF3333333333134E40,0101000020E6100000666666666666F2BF3333333333134E40
32630,32510,SULLOM VOE,GB,60.466667,-1.3,0101000020E6100000CDCCCCCCCCCCF4BFBCBBBBBBBB3B4E40,0101000020E6100000CDCCCCCCCCCCF4BFBCBBBBBBBB3B4E40
32680,32660,TVOROYRI,FO,61.55,-6.8,0101000020E61000003333333333331BC06666666666C64E40,0101000020E61000003333333333331BC06666666666C64E40
32690,32660,TORSHAVN,FO,62,-6.75,0101000020E61000000000000000001BC00000000000004F40,0101000020E61000000000000000001BC00000000000004F40
32700,32660,KONGSHAVN,FO,62.116667,-6.733333,0101000020E6100000EFEEEEEEEEEE1AC0EFEEEEEEEE0E4F40,0101000020E6100000EFEEEEEEEEEE1AC0EFEEEEEEEE0E4F40
